"","id","season","week","season_type","start_date","neutral_site","conference_game","venue_id","venue","home_id","home_team","home_conference","home_points","away_id","away_team","away_conference","away_points","excitement_index","home_1_pts","home_2_pts","home_3_pts","home_4_pts","away_1_pts","away_2_pts","away_3_pts","away_4_pts","winner","score_difference"
"79",401114244,2019,1,"regular","2019-09-01T00:00:00.000Z",FALSE,FALSE,3946,"Sun Bowl Stadium",2638,"UTEP","Conference USA",36,2277,"Houston Baptist",NA,34,"6.31158143147353",3,17,13,3,0,17,11,6,"UTEP",2
"80",401117496,2019,1,"regular","2019-09-01T01:00:00.000Z",FALSE,FALSE,3932,"Qualcomm Stadium",21,"San Diego State","Mountain West",6,2692,"Weber State",NA,0,"4.48408546652762",0,3,0,3,0,0,0,0,"San Diego State",6
"81",401117497,2019,1,"regular","2019-09-01T02:00:00.000Z",FALSE,FALSE,3914,"Sam Boyd Stadium",2439,"UNLV","Mountain West",56,253,"Southern Utah",NA,23,"2.56237743677588",7,28,21,0,0,7,0,16,"UNLV",33
"82",401114228,2019,1,"regular","2019-09-01T02:00:00.000Z",FALSE,FALSE,3820,"Martin Stadium",265,"Washington State","Pac-12",58,166,"New Mexico State","FBS Independents",7,"1.38604035998702",14,21,13,10,7,0,0,0,"Washington State",51
"83",401114218,2019,1,"regular","2019-09-01T02:30:00.000Z",FALSE,FALSE,477,"Los Angeles Memorial Coliseum",30,"USC","Pac-12",31,278,"Fresno State","Mountain West",23,"3.25353002286358",14,3,14,0,3,7,3,10,"USC",8
"84",401112114,2019,1,"regular","2019-09-01T23:30:00.000Z",FALSE,FALSE,3835,"Gaylord Family Oklahoma Memorial Stadium",201,"Oklahoma","Big 12",49,248,"Houston","American Athletic",31,"2.07930141232759",7,14,21,7,0,10,7,14,"Oklahoma",18
"85",401112436,2019,1,"regular","2019-09-03T00:00:00.000Z",FALSE,FALSE,3873,"Papa John's Cardinal Stadium",97,"Louisville","ACC",17,87,"Notre Dame","FBS Independents",35,"4.96660002489955",14,0,0,3,14,7,7,7,"Notre Dame",18
"86",401112447,2019,2,"regular","2019-09-07T00:00:00.000Z",FALSE,FALSE,3895,"Rice Stadium",242,"Rice","Conference USA",21,154,"Wake Forest","ACC",41,"3.36079719330119",14,0,0,7,14,10,10,7,"Wake Forest",20
"87",401112437,2019,2,"regular","2019-09-07T00:00:00.000Z",FALSE,FALSE,3923,"Scott Stadium",258,"Virginia","ACC",52,2729,"William & Mary",NA,17,"1.3826413300928",21,14,7,10,0,3,7,7,"Virginia",35
"88",401114251,2019,2,"regular","2019-09-07T01:00:00.000Z",FALSE,FALSE,3653,"Albertsons Stadium",68,"Boise State","Mountain West",14,276,"Marshall","Conference USA",7,"3.88960235406096",0,7,7,0,7,0,0,0,"Boise State",7
"89",401114154,2019,2,"regular","2019-09-07T02:00:00.000Z",FALSE,FALSE,3947,"Sun Devil Stadium",9,"Arizona State","Pac-12",19,16,"Sacramento State",NA,7,"4.06829698486541",0,3,6,10,0,0,0,7,"Arizona State",12
"90",401112445,2019,2,"regular","2019-09-07T15:00:00.000Z",FALSE,FALSE,3752,"Heinz Field",221,"Pittsburgh","ACC",20,195,"Ohio","Mid-American",10,"3.1872002737232",3,14,3,0,0,3,7,0,"Pittsburgh",10
"91",401112202,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,FALSE,3665,"Maryland Stadium",120,"Maryland","Big Ten",63,183,"Syracuse","ACC",20,"1.88234190901663",21,21,7,14,7,6,7,0,"Maryland",43
"92",401112252,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,FALSE,3861,"Ohio Stadium",194,"Ohio State","Big Ten",42,2132,"Cincinnati","American Athletic",0,"1.90428974526447",7,21,7,7,0,0,0,0,"Ohio State",42
"93",401112192,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,TRUE,3793,"Kinnick Stadium",2294,"Iowa","Big Ten",30,164,"Rutgers","Big Ten",0,"1.56281843265866",7,13,7,3,0,0,0,0,"Iowa",30
"94",401112446,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,FALSE,3799,"Lane Stadium",259,"Virginia Tech","ACC",31,295,"Old Dominion","Conference USA",17,"2.60578581360944",10,7,7,7,3,0,7,7,"Virginia Tech",14
"95",401112223,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,FALSE,3558,"Michigan Stadium",130,"Michigan","Big Ten",24,349,"Army","FBS Independents",21,"7.63996936837906",7,0,7,0,7,7,0,0,"Michigan",3
"96",401112107,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,FALSE,3636,"Bill Snyder Family Football Stadium",2306,"Kansas State","Big 12",52,189,"Bowling Green","Mid-American",0,"1.19421628981031",17,21,7,7,0,0,0,0,"Kansas State",52
"97",401119261,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,FALSE,3696,"Dix Stadium",2309,"Kent State","Mid-American",26,338,"Kennesaw State",NA,23,"7.05256379824561",3,7,7,6,3,13,0,7,"Kent State",3
"98",401117862,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,FALSE,3805,"Liberty Bowl Memorial Stadium",235,"Memphis","American Athletic",55,2582,"Southern",NA,24,"3.66836896196845",17,10,21,7,7,10,7,0,"Memphis",31
"99",401110781,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,FALSE,3838,"Faurot Field",142,"Missouri","SEC",38,277,"West Virginia","Big 12",7,"1.79137495849526",10,21,0,7,0,0,0,7,"Missouri",31
"100",401110782,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,FALSE,3994,"Williams-Brice Stadium",2579,"South Carolina","SEC",72,2127,"Charleston Southern",NA,10,"1.28636744240238",21,23,7,21,3,0,0,7,"South Carolina",62
"101",401110785,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,FALSE,3907,"Ross-Ade Stadium",2509,"Purdue","Big Ten",42,238,"Vanderbilt","SEC",24,"4.73873754479845",7,7,14,14,7,3,0,14,"Purdue",18
"102",401114254,2019,2,"regular","2019-09-07T16:00:00.000Z",FALSE,FALSE,3768,"Summa Field at InfoCision Stadium",2006,"Akron","Mid-American",20,5,"UAB","Conference USA",31,"3.19159159594089",6,0,0,14,7,10,14,0,"UAB",11
